uri	prefLabels	prefUnknown	altLabels	altLanguages	altUnknown	notations
http://bartoc.org/en/node/366	1	1	2	2	1	0
http://bartoc.org/en/node/367	1	0	2	2	0	0
http://bartoc.org/en/node/368	1	0	0	0	0	0
http://bartoc.org/en/node/369	1	1	2	1	0	1
http://bartoc.org/en/node/370	1	0	0	0	0	0
http://bartoc.org/en/node/371	1	0	0	0	0	0
http://bartoc.org/en/node/372	1	1	2	2	1	1
http://bartoc.org/en/node/373	1	0	3	3	1	1
http://bartoc.org/en/node/374	1	1	2	1	2	0
http://bartoc.org/en/node/375	1	0	3	3	1	1
http://bartoc.org/en/node/376	1	0	2	1	0	0
http://bartoc.org/en/node/377	1	0	0	0	0	0
http://bartoc.org/en/node/378	1	0	0	0	0	1
http://bartoc.org/en/node/379	1	0	0	0	0	0
http://bartoc.org/en/node/380	1	0	0	0	0	0
http://bartoc.org/en/node/381	2	1	0	0	0	1
http://bartoc.org/en/node/382	1	0	0	0	0	0
http://bartoc.org/en/node/383	1	0	0	0	0	0
http://bartoc.org/en/node/384	1	0	2	1	0	0
http://bartoc.org/en/node/385	1	0	2	1	0	0
http://bartoc.org/en/node/386	1	0	0	0	0	0
http://bartoc.org/en/node/387	1	0	2	1	0	0
http://bartoc.org/en/node/388	1	0	0	0	0	0
http://bartoc.org/en/node/389	1	0	0	0	0	0
http://bartoc.org/en/node/390	1	0	2	1	0	0
http://bartoc.org/en/node/391	1	1	2	2	1	0
http://bartoc.org/en/node/392	1	0	0	0	0	0
http://bartoc.org/en/node/393	1	0	0	0	0	0
http://bartoc.org/en/node/394	1	0	2	1	0	0
http://bartoc.org/en/node/395	1	0	0	0	0	0
http://bartoc.org/en/node/396	1	1	2	2	1	0
http://bartoc.org/en/node/397	1	0	0	0	0	1
http://bartoc.org/en/node/398	1	0	2	2	1	0
http://bartoc.org/en/node/399	1	1	0	0	0	0
http://bartoc.org/en/node/400	1	1	2	2	1	0
http://bartoc.org/en/node/401	1	1	2	1	2	0
http://bartoc.org/en/node/402	1	0	0	0	0	0
http://bartoc.org/en/node/403	1	0	4	1	0	0
http://bartoc.org/en/node/404	1	0	0	0	0	0
http://bartoc.org/en/node/405	1	1	0	0	0	1
http://bartoc.org/en/node/406	1	1	2	1	2	0
http://bartoc.org/en/node/407	1	1	0	0	0	1
